ID,Burn,In_Out,lat,long,elev,aspect,aspect_SW,slope,hl_index,dist,dwd,d2wd,rdnbr,dnbr,herb_cov,shrub_cov,tree_cov,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,temp,winter_aridity,summer_aridity,PIPO,PSME,ABCO,POTR,PJ
PONOUT372,Ponil,OUT,36.6115684,-105.0828948,2605,299.0549927,0.274714606,13.7697001,0.863303,27,33.55639612,2.145039562,657,443,36,29,0,7.735714286,18.23571429,-2.657142857,20.87857143,457.8571429,296.0714286,40.98571429,67.3,358.4285714,1927.5,3839.214286,122.8571429,186,151.0714286,274.0714286,122.8571429,41.64285714,-33.8,34.9,969.7857143,568.7857143,-4274.35,51.92857143,1.103939783,2.354278331,0.486741867,9,0,0,0,0
PONOUT374,Ponil,OUT,36.60994573,-105.0828483,2594,236.3099976,0.980580453,12.2965002,0.902411,77,36.47199735,2.097484884,727,459,34.5,20.5,0,7.792857143,18.27142857,-2.621428571,20.88571429,455.7857143,295.2857143,41.29285714,67.68571429,354.7857143,1939.642857,3823.928571,125.5714286,186.0714286,150.8571429,274.0714286,122.9285714,40.78571429,-33.9,35,973.9285714,574.5,-4274.35,51.57142857,1.203298702,2.362611296,0.511595821,6,0,0,0,0
PONOUT378,Ponil,OUT,36.61141077,-105.075928,2583,226.4689941,0.999671344,14.5703001,0.892523,63,6.328546614,0.357577666,812,445,32.5,13,0,7.85,18.34285714,-2.564285714,20.90714286,453.1428571,294.3571429,41.67857143,68.16428571,350,1954.357143,3803.857143,129,186.2857143,150.6428571,274.2142857,123.7142857,39.57142857,-33.9,35,977.5714286,579.2142857,-4274.45,51.42857143,1.325250759,2.378598152,0.531238338,0,0,0,0,0
PONOUT382,Ponil,OUT,36.61648676,-105.0366357,2250,19.1555996,-0.899981226,21.1161003,0.743697,24,54.23115063,4.13304093,897,592,65,36.5,0,9.064285714,19.65714286,-1.45,21.10714286,406.5,275.4285714,49.76428571,78.22142857,270,2244.785714,3437.571429,204.7142857,188.7142857,145.0714286,274.2857143,129.1428571,20.42857143,-34.2,36.7,1106.785714,725.7142857,-4275.107143,46.64285714,4.013014314,2.540462726,1.104442773,2,0,0,0,0
PONOUT383,Ponil,OUT,36.61538641,-105.0382791,2323,41.5317993,-0.998168527,23.2793007,0.716353,133,38.64128546,1.442179323,870,563,22,52,0,8.864285714,19.45714286,-1.65,21.09285714,412.7857143,277.9285714,48.45,76.64285714,282.7857143,2195.5,3498,191,188.6428571,145.8571429,274.3571429,128.7142857,22.71428571,-34.2,36.4,1077.571429,693.9285714,-4275.078571,47.57142857,3.533559332,2.531179887,1.004175544,0,0,0,0,0
PONOUT385,Ponil,OUT,36.61446825,-105.0337384,2267,28.4955997,-0.95879792,17.6926003,0.740462,30,60.67808456,3.408962283,897,604,37,25.5,0,9.042857143,19.65,-1.457142857,21.10714286,407.5714286,276,49.6,78.01428571,271,2241.214286,3442.071429,203.6428571,189.1428571,145,274.4285714,129.5,20.71428571,-34.2,36.7,1103.571429,721.6428571,-4275.107143,46.92857143,3.972281185,2.539747933,1.083801136,0,0,0,0,0
PONOUT398,Ponil,OUT,36.6060248,-105.1049612,2641,1.1233,-0.720833032,12.9263,0.796647,42,62.48659809,4.141773458,854,534,23,27.5,0,7.435714286,17.87857143,-2.85,20.73571429,468,301.2142857,39.38571429,64.89285714,376.9285714,1853,3933.142857,107.1428571,180.7142857,154.2857143,271.7142857,117.5,47.28571429,-34.3,34.7,959.7142857,554,-4274.421429,51.42857143,0.514845108,2.310202849,0.474892157,4,2,2,0,0
PONOUT405,Ponil,OUT,36.60222102,-105.1043299,2677,105.9449997,-0.485648976,3.7929001,0.826137,11,116.2995902,10.86791083,737,460,36,15.5,0,7.385714286,17.81428571,-2.935714286,20.73571429,470.2857143,302.2142857,39.04285714,64.37142857,382.9285714,1837.428571,3956.285714,104.0714286,180.5714286,154.3571429,271.7142857,117.1428571,48.71428571,-34.4,34.6,951.8571429,546.2857143,-4274.392857,51.57142857,0.37309788,2.310483519,0.437672586,80,4,0,0,0
PONOUT412,Ponil,OUT,36.60903817,-105.0784752,2602,51.7890015,-0.992988219,13.8156004,0.779799,58,5.816791908,0.390014741,760,461,69.5,10,0,7.8,18.28571429,-2.621428571,20.90714286,454.7857143,295.2857143,41.39285714,67.75714286,354.4285714,1942,3821.214286,126.2142857,186.2142857,150.7857143,274.2142857,123.3571429,40.28571429,-33.9,35,973.8571429,574.6428571,-4274.407143,51.64285714,1.224432906,2.377631132,0.503042834,2,0,0,0,0
PONOUT438,Ponil,OUT,36.60841086,-105.0311639,2348,344.8760071,-0.498124679,17.3966999,0.816895,15,90.73568651,6.749412163,836,482,28,54.5,7.5,8.892857143,19.45714286,-1.642857143,21.1,414.2142857,278.6428571,48.36428571,76.54285714,281.5,2201.071429,3491.285714,192.4285714,190.1428571,145.3571429,275.2142857,129.7857143,22.78571429,-34,36.4,1073.571429,688.8571429,-4275.128571,48.07142857,3.535521269,2.53290782,0.96917626,1,1,0,0,0
PONOUT440,Ponil,OUT,36.60703117,-105.0325946,2342,322.3059998,-0.127168475,12.5551004,0.871497,24,44.83870645,2.419832867,800,515,48,68,0,8.9,19.47857143,-1.592857143,21.07142857,414,278.5,48.46428571,76.65,279.7142857,2206,3484.571429,193.6428571,190.3571429,145.2142857,275.2142857,129.9285714,22.64285714,-33.9,36.4,1077.285714,692,-4275.135714,48.07142857,3.584067989,2.525791026,0.999147359,1,0,0,0,0
PONOUT442,Ponil,OUT,36.60318206,-105.0314526,2343,358.2640076,-0.685361041,21.2317009,0.754338,9,56.13275064,7.611117987,723,500,28,47.5,0,8.935714286,19.50714286,-1.55,21.05714286,414.1428571,278.5714286,48.53571429,76.73571429,277.6428571,2213.5,3475.071429,195.7857143,191.2142857,145.1428571,275.5714286,130.5714286,22.5,-33.8,36.4,1082,695.3571429,-4275.171429,48.21428571,3.65629949,2.518043186,1.005443001,4,1,0,0,0
PONOUT443,Ponil,OUT,36.60874513,-105.0283015,2270,26.2000999,-0.946649822,19.6403008,0.761825,13,119.7321605,9.13743129,768,481,51.5,39.5,0,9.107142857,19.69285714,-1.392857143,21.1,407.4285714,275.7857143,49.82142857,78.25,267,2256.5,3423.857143,208,190.2142857,144.4285714,275.1428571,130.5,20.28571429,-34,36.7,1104.428571,722.6428571,-4275.157143,47.07142857,4.062947333,2.541113252,1.093068451,1,0,0,0,1
